No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
1;2022;Hutan Alam;Koperasi. Pondok Pesantren Darussalam;20.159,00;643;20.247,71;0;0;643;20.247,71;0;0;0;0,00%;Tidak Ada
2;2022;Hutan Alam;PT. Karya Wijaya Sukses;17.885,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
3;2022;Hutan Alam;PT. Nadila Indodaya;32.970,00;913,44;33.197,99;0;0;913,44;33.197,99;8.791,27;0;8.791,27;26,48%;Tidak Ada
4;2022;Hutan Alam;PT. Borneo Karya Indah Mandiri;47.395,00;1.594,00;45.458,37;0;0;1.594,00;45.458,37;12.186,24;0;12.186,24;26,81%;Tidak Ada
5;2022;Hutan Alam;PT. Wangsa Karya Lestari;38.880,00;896,77;26.813,80;0;0;896,77;26.813,80;0;0;0;0,00%;Tidak Ada
6;2022;Hutan Alam;PT. Greaty Sukses Abadi Unit Sungai Telakai;34.865,00;989;40.025,30;982;13.817,38;1.971,00;53.842,68;26.247,52;0;26.247,52;48,75%;Tidak Ada
7;2022;Hutan Alam;PT. Hanurata (Kalimantan Timur);86.440,00;2.066,00;50.419,53;0;0;2.066,00;50.419,53;11.078,53;0;11.078,53;21,97%;Tidak Ada
8;2022;Hutan Alam;PT. Kreasi Prima Lestari;41.475,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
9;2022;Hutan Alam;PT. Inhutani I Unit Meraang;70.700,00;3.174,29;61.511,50;0;0;3.174,29;61.511,50;33.936,95;0;33.936,95;55,17%;Tidak Ada
10;2022;Hutan Alam;PT. Inhutani I Unit Labanan;138.210,00;3.219,00;74.324,45;0;0;3.219,00;74.324,45;31.034,10;0;31.034,10;41,75%;Tidak Ada
11;2022;Hutan Alam;PT. Karya Lestari;49.123,00;1.347,00;34.422,59;0;0;1.347,00;34.422,59;21.712,27;0;21.712,27;63,08%;Tidak Ada
12;2022;Hutan Alam;PT. Utama Damai Indah Timber;49.250,00;1.060,00;27.469,70;144;5.875,30;1.204,00;33.345,00;24.121,79;0;24.121,79;72,34%;Tidak Ada
13;2022;Hutan Alam;PT. Kedungmadu Tropical Wood;50.400,00;1.857,00;61.057,91;0;0;1.857,00;61.057,91;25.422,81;0;25.422,81;41,64%;Tidak Ada
14;2022;Hutan Alam;PT. Inhutani I Unit Sambarata;106.020,00;2.954,36;128.935,49;0;0;2.954,36;128.935,49;51.692,44;0;51.692,44;40,09%;Tidak Ada
15;2022;Hutan Alam;KUD. Beringin Mulya;23.635,00;628;28.000,00;361;12.450,00;989;40.450,00;6.498,93;0;6.498,93;16,07%;Tidak Ada
16;2022;Hutan Alam;PT. Amindo Wana Persada;43.680,00;112,37;4.627,27;0;0;112,37;4.627,27;0;0;0;0,00%;Tidak Ada
17;2022;Hutan Alam;CV. Pari Jaya Makmur;12.070,00;365;21.458,99;0;0;365;21.458,99;11.309,17;0;11.309,17;52,70%;Tidak Ada
18;2022;Hutan Alam;PT. Mardhika Insan Mulia;46.080,00;1.081,00;36.250,00;0;0;1.081,00;36.250,00;3.853,39;0;3.853,39;10,63%;Tidak Ada
19;2022;Hutan Alam;PT. Telaga Mas Kalimantan;82.805,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
20;2022;Hutan Alam;PT. Belayan River Timber;97.500,00;2.144,23;37.553,88;954,62;16.160,67;3.098,85;53.714,55;40.732,50;0;40.732,50;75,83%;Tidak Ada
21;2022;Hutan Alam;PT. Widya Artha Perdana;14.800,00;325,96;18.897,45;0;0;325,96;18.897,45;0;0;0;0,00%;Tidak Ada
22;2022;Hutan Alam;PT. Barito Nusantara Indah;94.685,00;2.378,00;70.035,71;0;0;2.378,00;70.035,71;12.894,06;0;12.894,06;18,41%;Tidak Ada
23;2022;Hutan Alam;PT. Daisy Timber;30.170,00;0;0;0;0;0;0;12.517,26;0;12.517,26;0%;Tidak Ada
24;2022;Hutan Alam;PT. Wana Bakti Persada Utama;44.402,00;1.262,00;29.636,00;1.292,00;20.195,00;2.554,00;49.831,00;172,08;0;172,08;0,35%;Tidak Ada
25;2022;Hutan Alam;PT. Intertropic Aditama;46.230,00;585,45;20.466,24;60,6;1.415,41;646,05;21.881,65;11.907,90;0;11.907,90;54,42%;Tidak Ada
26;2022;Hutan Alam;PT. Rimba Karya Rayatama;39.800,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
27;2022;Hutan Alam;PT. Trimurti Madina Mulia;30.810,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
28;2022;Hutan Alam;PT. Mardhika Insan Mulia Tabalar;25.630,00;635,82;18.200,00;0;0;635,82;18.200,00;1.823,50;0;1.823,50;10,02%;Tidak Ada
